label,long,lat,url
Eleusis,23.537401,38.041101,https://pleiades.stoa.org/places/579920
Colonus,23.721885,37.99907,https://pleiades.stoa.org/places/579985
Corinth,22.87861439,37.90564164,https://pleiades.stoa.org/places/570182
Acropolis,23.7264385,37.97164709,https://pleiades.stoa.org/places/638356144
Cydantidae,23.891947,38.047374,https://pleiades.stoa.org/places/579998
Athens,23.72391436,37.97163725,https://pleiades.stoa.org/places/579885
Colias,23.715298,37.8946281,https://pleiades.stoa.org/places/579981
Megara,23.340163,37.985078,https://pleiades.stoa.org/places/570468
Peloponnese,22.3359575,37.09278464,https://pleiades.stoa.org/places/570577
Thessaly,22.2954323,39.44386833,https://pleiades.stoa.org/places/1332
Magnesia,22.92051902,39.5066786,https://pleiades.stoa.org/places/540923
Chios,26.01424244,38.38363823,https://pleiades.stoa.org/places/550497
Ionia,26.80156095,38.29906458,https://pleiades.stoa.org/places/550597
